time,lat_deg,lon_deg,alt_m,vel_n_mps,vel_e_mps,vel_d_mps,roll_deg,pitch_deg,yaw_deg,dt_s
2023-08-04 22:34:26+00:00,-2645.77638156,39585.28920367,-66085961885896897722880275606932818244987114490881641707320732231841975364050272252250292224.0000,224310810917231927821716562697948656737987759834909012568148975062611508544478003047956480.000000,54640139740912602238062772774503389116699115215068621795732687657537810512043143113736192.000000,-801765302684010460516391996281475820281304931520199612702915764389245078862838022593839104.000000,-147.402640,-35.766957,-87.163736,1.000000
2023-08-04 22:34:27+00:00,-2645.97004055,39585.36931803,-66888925151189565975487166983004046751025242080790206886748720813797032336627796750282784768.0000,225131150714792319122477817133635105802628273937592036953815002320063011187279640360124416.000000,54306571953962087317758596961791217130321908242305528989808086819490821761385345421672448.000000,-804161227901326723166663630760563751781190533577640823906877799758548784988992269837139968.000000,-147.459658,-35.740430,-86.863546,1.000000
2023-08-04 22:34:28+00:00,-2646.16208248,39585.44763143,-67694279970577359126981513518664477132196122213657615926405732362943273632124888042090528768.0000,225948728512281567374238221699093053154543384935220702690499714484665266226946632690171904.000000,53980365618351682067044714767932400762233889708870791416091665624382491503702528445382656.000000,-806548410874250985877906358498917917401526118601516270525470895523321502512627226475757568.000000,-147.230664,-35.556949,-86.640514,1.000000
2023-08-04 22:34:29+00:00,-2646.35253657,39585.52420548,-68502017674073868003907068159360069925948623186649849713569677203179788339066292645312593920.0000,226763608382734269025627564650191777189489103499292912711329991331557789395388711542194176.000000,53661274750983704472113906325874596979665306543039543736967371276776619659454440645066752.000000,-808926996118758287107291986647485670275472261374075331879713781978708927660415775393447936.000000,-146.623437,-35.550154,-87.162696,1.000000
2023-08-04 22:34:30+00:00,-2646.54143125,39585.59909901,-69312129734180436207630862825670070022948753101935525543349296866173126496142244908034424832.0000,227575851867970797884134695908017023996104131229712302350800483030437208382511214948777984.000000,53349064544973885452174790871490463246826856143180116458261028393184359582252341600976896.000000,-811297124094368169457628514111970310593263385080195187290218340521995245605363070015635456.000000,-146.852050,-35.698523,-86.347708,1.000000
2023-08-04 22:34:31+00:00,-2646.72879420,39585.67236822,-70124607761910120302134554223901282076597586658797275702731564813511414436940747941494128640.0000,228385518119718405022131984056661225345568034390428474840660747390386254323273241945178112.000000,53043510738704592779542196251840861791661092178138571856808869563793492005296317768138752.000000,-813658931364999906471542136533856703373363681096520118515348154114967316208846114176106496.000000,-146.453259,-34.930481,-86.558114,1.000000
2023-08-04 22:34:32+00:00,-2646.91465237,39585.74406682,-70939443502968418016621941120761433079877829286987971955118281277497390771228567941180030976.0000,229192664030820730692788584064290517693491823071728850740465414898190491680982520328880128.000000,52744399027197314401933802694736427282358104726782791738374153607520608723455635798097920.000000,-816012550751599593318868906583940663104563286969132852780983175283064864547481663391662080.000000,-147.331987,-35.226053,-85.450821,1.000000
2023-08-04 22:34:33+00:00,-2647.09903200,39585.81424616,-71756628834082745860762968935578539818817166983712956978913766611520630565088393912091934720.0000,229997344357358061284149930475700538850026707886492622168006819628107576971457403971174400.000000,52451524512531486596789322593940079290069289526313222545403887459885910197292879384150016.000000,-818358111477049988739730848954029774897949538954446495025639890624295454901138611138199552.000000,-147.882185,-35.464631,-84.339899,1.000000
2023-08-04 22:34:34+00:00,-2647.28195864,39585.88295538,-72576155759473183088807260090937032927662215398193265187404636128557907773545651412163100672.0000,230799611832422725181939366735026400554824034686147120725190556797573176479934995903807488.000000,52164691190322967477146058098670918442993367955163309105540342899474356497092409649266688.000000,-820695739303837245186823939038427989199672662792876386319641347926564097469424137230352384.000000,-148.505285,-35.858643,-84.016567,1.000000
2023-08-04 22:34:35+00:00,-2647.46345718,39585.95024150,-73398016407457563435235240479054079179408799061315600048347884404100338335040497504346963968.0000,231599517272226089675691221976568416571170834050970372914047353945625813607377094758629376.000000,51883711469530214513180943975783901677045939311272781559924761065080549159905669356191744.000000,-823025556664915079881438046767479607796531144989702376603119600226911361593298725290115072.000000,-148.321895,-35.428615,-83.962904,1.000000
2023-08-04 22:34:36+00:00,-2647.64355190,39586.01614957,-74222203027184111836704169717414967216319300345782688291668172660369985794684532021002240000.0000,232397109675149109922795458253053420555278296868533723745531920111433980397204066004893696.000000,51608405723094204898378313355119925495293912127250795471368608584342036915090356762050560.000000,-825347682788176069145813139124441799472469046605223462088986910331717568554926171637153792.000000,-148.380480,-35.334058,-83.599546,1.000000
2023-08-04 22:34:37+00:00,-2647.82226644,39586.08072272,-75048707985485648373682198745078814868326004643521085942305955537707392458527816625258758144.0000,233192436314293820747673654662553975729877545990309656541023918276882052593990823330185216.000000,51338601867125614906405420083575253607253400699422514891510059317680042206825884694872064.000000,-827662233814909217257156664395739584293264683924353238755274048621334295673706371463774208.000000,-149.069384,-35.727608,-82.705530,1.000000
